threshold	meld_n_total	meld_n_no_output	meld_yes_in_ILAE12	meld_n_ILAE12	meld_yes_in_ILAE3456	meld_n_ILAE3456	meld_or	meld_ci_lo	meld_ci_hi	meld_p	meld_lr	meld_beta	trackA_n_total	trackA_n_no_output	trackA_yes_in_ILAE12	trackA_n_ILAE12	trackA_yes_in_ILAE3456	trackA_n_ILAE3456	trackA_or	trackA_ci_lo	trackA_ci_hi	trackA_p	trackA_lr	trackA_beta	delta_beta_trackA_minus_meld	delta_lr_trackA_minus_meld	trackA_stronger_by_lr	_policy_note
0.1	58	0	25	38	9	20	2.246377982492156	0.7358873854256739	7.152494832048224	0.07927401169598458	3.079723299346192	0.809319133560295	58	0	29	38	3	20	15.49375751928722	4.113714379164494	81.33026876527457	9.069784153936666e-06	19.697966179179367	2.7404372021122403	1.9311180685519453	16.618242879833176	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.15	58	0	23	38	6	20	3.6468034944314107	1.1668696632456244	12.798707547926128	0.013612185295934998	6.087756116662462	1.2938510289467022	58	0	28	38	3	20	12.841337554591375	3.485964987175394	63.78082948328889	3.0443716255268427e-05	17.389914108415475	2.552669463754733	1.258818434808031	11.302157991753013	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.2	58	0	23	38	4	20	5.1751097134293955	1.5829017440428819	19.97795833488917	0.003215586159889372	8.680920039959275	1.643860539589387	58	0	26	38	3	20	9.224551908239697	2.6085032100699808	41.63531366059894	0.00020496853476748012	13.784978533149797	2.2218686151143006	0.5780080755249135	5.1040584931905215	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.25	58	0	22	38	3	20	6.824812714788566	1.9431469463438797	30.894391583030494	0.0011449323266397027	10.577162924211223	1.9205648996378903	58	0	25	38	3	20	8.272451132351048	2.3596323068746137	36.918745411028915	0.0003738656881525637	12.658481785544176	2.1129308535554507	0.1923659539175604	2.081318861332953	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.8	58	0	4	38	1	20	1.5702082612595258	0.21835543799335064	18.598316279522944	1.0	0.0	0.4512082610466937	58	0	4	38	0	20	4.463733177408969	0.3585956103546505	641.1545961333695	0.3993762293582963	0.7102036016891162	1.495985451206783	1.0447771901600893	0.7102036016891162	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.55	58	0	14	38	1	20	6.792953751147754	1.4102582233726735	66.87820749199528	0.009329663383626952	6.758605644102033	1.9158858618756325	58	0	15	38	1	20	7.361558413241	1.5192825304645026	72.63124392973641	0.007004479173519429	7.271820002098622	1.9962716512563219	0.08038578938068941	0.5132143579965884	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.4	58	0	20	38	3	20	5.852938365541307	1.6508466908549533	26.794162703552935	0.0028841317682636314	8.879356543844708	1.7669438198489416	58	0	20	38	2	20	6.711780949951403	1.7635282352552104	36.96305944528994	0.0024009828709120606	9.21455711760266	1.9038643330470433	0.13692051319810172	0.33520057375795176	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.75	58	0	7	38	1	20	2.5038066326798827	0.42935855370950543	26.808603749272166	0.2823699984514513	1.1556477140089143	0.9178122268853202	58	0	8	38	1	20	2.862347067094421	0.4866210063182626	30.92564542658456	0.22270522872140563	1.486853955287053	1.0516419411105598	0.1338297142252396	0.3312062412781387	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.85	58	0	3	38	1	20	1.3103846331167925	0.16300590634314818	16.29650373460545	1.0	0.0	0.27032070718343315	58	0	3	38	0	20	3.7059890582993162	0.2679534749663138	547.3384572653156	0.7106675015350566	0.1376111455126221	1.3099501754301308	1.0396294682466976	0.1376111455126221	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.9	58	0	3	38	0	20	3.706137447308415	0.2670661740293689	547.7614184353811	0.7155516177726546	0.13279489351411655	1.3099902149542826	58	0	3	38	0	20	3.7059890582993162	0.2679534749663138	547.3384572653156	0.7106675015350566	0.1376111455126221	1.3099501754301308	-4.003952415176926e-05	0.00481625199850555	True	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.6	58	0	10	38	1	20	5.022386873331752	0.9546566380955186	51.86385387233978	0.04185517000868477	4.141051198022851	1.613905293477525	58	0	11	38	1	20	4.681094296717896	0.8920675196016477	47.78506098839722	0.05168557698390541	3.7859171704052343	1.5435319066819853	-0.07037338679553984	-0.35513402761761625	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.65	58	0	9	38	1	20	4.658263635569629	0.8655664354375955	48.768883453749694	0.056609245453762	3.634039931838828	1.5386427683082695	58	0	10	38	1	20	4.223444421342911	0.7963030058486413	43.3375796686554	0.0713077387589276	3.2526579206158175	1.4406510087151214	-0.0979917595931481	-0.3813820112230104	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.5	58	0	16	38	1	20	9.072714748664339	1.9022667251101377	89.62880955825237	0.0023072290953425334	9.287499314524496	2.2052715301103567	58	0	17	38	1	20	8.71207348825405	1.8209187265715658	85.35459740196244	0.0030419468798138505	8.782136592860567	2.1647098208859514	-0.040561709224405273	-0.5053627216639285	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.7	58	0	9	38	1	20	4.658263635569629	0.8655664354375955	48.768883453749694	0.056609245453762	3.634039931838828	1.5386427683082695	58	0	9	38	1	20	3.821941959930484	0.7031152192089211	39.701773806092206	0.09934884804011046	2.7159654084218943	1.3407586599179733	-0.19788410839029624	-0.9180745234169336	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.3	58	0	22	38	3	20	6.824812714788566	1.9431469463438797	30.894391583030494	0.0011449323266397027	10.577162924211223	1.9205648996378903	58	0	23	38	3	20	6.121278516937075	1.7757487315493228	26.389946966449198	0.0019711069451213703	9.57624914055598	1.811770982702252	-0.10879391693563845	-1.0009137836552426	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.35	58	0	20	38	3	20	5.852938365541307	1.6508466908549533	26.794162703552935	0.0028841317682636314	8.879356543844708	1.7669438198489416	58	0	21	38	3	20	5.073182812949994	1.4738144331253653	21.82940567787837	0.0051437092459653	7.828207238716885	1.6239683943929715	-0.14297542545597008	-1.0511493051278222	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
0.45	58	0	17	38	1	20	12.06260604378642	2.4219680964975705	126.52653571866016	0.000682722425835558	11.535703369479862	2.490110257821191	58	0	17	38	2	20	4.7290526544250024	1.2038934369674408	26.489471678668963	0.01515872993558487	5.8979253661466515	1.5537248979674836	-0.9363853598537075	-5.63777800333321	False	自训练MELD不做约束；fMRI面积约束；TrackA=原文TrackA（paper locked +20）
